date,type,value
19/09/18,high,111660.0000000
19/09/18,low,111630.0000000
19/09/18,close,111660.0000000
19/09/18,open,111660.0000000
19/09/18,high,111670.0000000
19/09/18,low,111650.0000000
19/09/18,close,111650.0000000
19/09/18,open,111660.0000000
19/09/18,high,111660.0000000
19/09/18,low,111630.0000000
19/09/18,close,111650.0000000
19/09/18,open,111650.0000000
19/09/18,high,111650.0000000
19/09/18,low,111540.0000000
19/09/18,close,111560.0000000
19/09/18,open,111580.0000000
19/09/18,high,111590.0000000
19/09/18,low,111530.0000000
19/09/18,close,111570.0000000
19/09/18,open,111580.0000000
19/09/18,high,111790.0000000
19/09/18,low,111570.0000000
19/09/18,close,111780.0000000
19/09/18,open,111790.0000000
19/09/18,high,111950.0000000
19/09/18,low,111760.0000000
19/09/18,close,111910.0000000
19/09/18,open,111910.0000000
19/09/18,high,111960.0000000
19/09/18,low,111860.0000000
19/09/18,close,111930.0000000
19/09/18,open,111950.0000000
19/09/18,high,111960.0000000
19/09/18,low,111860.0000000
19/09/18,close,111860.0000000
19/09/18,open,111860.0000000
19/09/18,high,111860.0000000
19/09/18,low,111810.0000000
19/09/18,close,111820.0000000
19/09/18,open,111820.0000000
19/09/18,high,111840.0000000
19/09/18,low,111780.0000000
19/09/18,close,111800.0000000
19/09/18,open,111800.0000000
19/09/18,high,111840.0000000
19/09/18,low,111780.0000000
19/09/18,close,111840.0000000
19/09/18,open,111840.0000000
19/09/18,high,111870.0000000
19/09/18,low,111780.0000000
19/09/18,close,111840.0000000
19/09/18,open,111820.0000000
19/09/18,high,111840.0000000
19/09/18,low,111770.0000000
19/09/18,close,111800.0000000
19/09/18,open,111800.0000000
19/09/18,high,111830.0000000
19/09/18,low,111770.0000000
19/09/18,close,111780.0000000
19/09/18,open,111770.0000000
19/09/18,high,111790.0000000
19/09/18,low,111750.0000000
19/09/18,close,111790.0000000
19/09/18,open,111790.0000000
19/09/18,high,111850.0000000
19/09/18,low,111770.0000000
19/09/18,close,111850.0000000
19/09/18,open,111830.0000000
19/09/18,high,111890.0000000
19/09/18,low,111830.0000000
19/09/18,close,111870.0000000
19/09/18,open,111880.0000000
19/09/18,high,111890.0000000
19/09/18,low,111820.0000000
19/09/18,close,111850.0000000
19/09/18,open,111850.0000000
19/09/18,high,111860.0000000
19/09/18,low,111820.0000000
19/09/18,close,111840.0000000
19/09/18,open,111850.0000000
19/09/18,high,111870.0000000
19/09/18,low,111810.0000000
19/09/18,close,111820.0000000
19/09/18,open,111820.0000000
19/09/18,high,111830.0000000
19/09/18,low,111810.0000000
19/09/18,close,111810.0000000
19/09/18,open,111820.0000000
19/09/18,high,111840.0000000
19/09/18,low,111800.0000000
19/09/18,close,111810.0000000
19/09/18,open,111820.0000000
19/09/18,high,111850.0000000
19/09/18,low,111800.0000000
19/09/18,close,111840.0000000
19/09/18,open,111840.0000000
19/09/18,high,111850.0000000
19/09/18,low,111800.0000000
19/09/18,close,111830.0000000
19/09/18,open,111840.0000000
19/09/18,high,111910.0000000
19/09/18,low,111830.0000000
19/09/18,close,111910.0000000
19/09/18,open,111900.0000000
19/09/18,high,111950.0000000
19/09/18,low,111890.0000000
19/09/18,close,111910.0000000
19/09/18,open,111910.0000000
19/09/18,high,111910.0000000
19/09/18,low,111870.0000000
19/09/18,close,111870.0000000
19/09/18,open,111880.0000000
19/09/18,high,112000.0000000
19/09/18,low,111880.0000000
19/09/18,close,111990.0000000
19/09/18,open,112000.0000000
19/09/18,high,112030.0000000
19/09/18,low,111970.0000000
19/09/18,close,112010.0000000
19/09/18,open,112010.0000000
19/09/18,high,112030.0000000
19/09/18,low,111970.0000000
19/09/18,close,112010.0000000
19/09/18,open,112010.0000000
19/09/18,high,112010.0000000
19/09/18,low,111980.0000000
19/09/18,close,111990.0000000
19/09/18,open,112000.0000000
19/09/18,high,112120.0000000
19/09/18,low,111970.0000000
19/09/18,close,112080.0000000
19/09/18,open,112080.0000000
19/09/18,high,112120.0000000
19/09/18,low,112060.0000000
19/09/18,close,112090.0000000
19/09/18,open,112080.0000000
19/09/18,high,112140.0000000
19/09/18,low,112080.0000000
19/09/18,close,112120.0000000
19/09/18,open,112130.0000000
19/09/18,high,112130.0000000
19/09/18,low,112090.0000000
19/09/18,close,112090.0000000
19/09/18,open,112080.0000000
19/09/18,high,112120.0000000
19/09/18,low,112080.0000000
19/09/18,close,112110.0000000
19/09/18,open,112120.0000000
19/09/18,high,112130.0000000
19/09/18,low,112020.0000000
19/09/18,close,112050.0000000
19/09/18,open,112060.0000000
19/09/18,high,112090.0000000
19/09/18,low,112000.0000000
19/09/18,close,112000.0000000
19/09/18,open,112000.0000000
19/09/18,high,112040.0000000
19/09/18,low,111980.0000000
19/09/18,close,112020.0000000
19/09/18,open,112030.0000000
19/09/18,high,112030.0000000
19/09/18,low,111970.0000000
19/09/18,close,112000.0000000
19/09/18,open,112000.0000000
19/09/18,high,112010.0000000
19/09/18,low,111960.0000000
19/09/18,close,111990.0000000
19/09/18,open,112000.0000000
19/09/18,high,112010.0000000
19/09/18,low,111920.0000000
19/09/18,close,111950.0000000
19/09/18,open,111970.0000000
19/09/18,high,111990.0000000
19/09/18,low,111950.0000000
19/09/18,close,111980.0000000
19/09/18,open,111990.0000000
19/09/18,high,112010.0000000
19/09/18,low,111980.0000000
19/09/18,close,112010.0000000
19/09/18,open,112020.0000000
19/09/18,high,112020.0000000
19/09/18,low,111980.0000000
19/09/18,close,111980.0000000
19/09/18,open,111990.0000000
19/09/18,high,112010.0000000
19/09/18,low,111980.0000000
19/09/18,close,112010.0000000
19/09/18,open,112010.0000000
19/09/18,high,112020.0000000
19/09/18,low,111990.0000000
19/09/18,close,112000.0000000
19/09/18,open,112000.0000000
19/09/18,high,112010.0000000
19/09/18,low,111950.0000000
19/09/18,close,111950.0000000
19/09/18,open,111970.0000000
19/09/18,high,111980.0000000
19/09/18,low,111940.0000000
19/09/18,close,111950.0000000
19/09/18,open,111950.0000000
19/09/18,high,112030.0000000
19/09/18,low,111940.0000000
19/09/18,close,111990.0000000
19/09/18,open,111990.0000000
19/09/18,high,112040.0000000
19/09/18,low,111970.0000000
19/09/18,close,111980.0000000
19/09/18,open,111980.0000000
19/09/18,high,112000.0000000
19/09/18,low,111960.0000000
19/09/18,close,111960.0000000
19/09/18,open,111990.0000000
19/09/18,high,112000.0000000
19/09/18,low,111950.0000000
19/09/18,close,111970.0000000
19/09/18,open,111980.0000000
19/09/18,high,111990.0000000
19/09/18,low,111940.0000000
19/09/18,close,111960.0000000
19/09/18,open,111950.0000000
19/09/18,high,111970.0000000
19/09/18,low,111940.0000000
19/09/18,close,111940.0000000
19/09/18,open,111940.0000000
19/09/18,high,111960.0000000
19/09/18,low,111930.0000000
19/09/18,close,111940.0000000
19/09/18,open,111940.0000000
19/09/18,high,111950.0000000
19/09/18,low,111920.0000000
19/09/18,close,111940.0000000
19/09/18,open,111950.0000000
19/09/18,high,111970.0000000
19/09/18,low,111910.0000000
19/09/18,close,111920.0000000
19/09/18,open,111920.0000000
19/09/18,high,111920.0000000
19/09/18,low,111900.0000000
19/09/18,close,111910.0000000
19/09/18,open,111900.0000000
19/09/18,high,111910.0000000
19/09/18,low,111830.0000000
19/09/18,close,111860.0000000
19/09/18,open,111860.0000000
19/09/18,high,111880.0000000
19/09/18,low,111840.0000000
19/09/18,close,111850.0000000
19/09/18,open,111850.0000000
19/09/18,high,111930.0000000
19/09/18,low,111850.0000000
19/09/18,close,111900.0000000
19/09/18,open,111910.0000000
19/09/18,high,111930.0000000
19/09/18,low,111870.0000000
19/09/18,close,111880.0000000
19/09/18,open,111880.0000000
19/09/18,high,111890.0000000
19/09/18,low,111840.0000000
19/09/18,close,111840.0000000
19/09/18,open,111850.0000000
19/09/18,high,111870.0000000
19/09/18,low,111800.0000000
19/09/18,close,111820.0000000
19/09/18,open,111820.0000000
19/09/18,high,111840.0000000
19/09/18,low,111800.0000000
19/09/18,close,111810.0000000
19/09/18,open,111820.0000000
19/09/18,high,111830.0000000
19/09/18,low,111800.0000000
19/09/18,close,111800.0000000
19/09/18,open,111800.0000000
19/09/18,high,111850.0000000
19/09/18,low,111800.0000000
19/09/18,close,111830.0000000
19/09/18,open,111830.0000000
19/09/18,high,111880.0000000
19/09/18,low,111820.0000000
19/09/18,close,111840.0000000
19/09/18,open,111840.0000000
19/09/18,high,111870.0000000
19/09/18,low,111820.0000000
19/09/18,close,111860.0000000
19/09/18,open,111870.0000000
19/09/18,high,111910.0000000
19/09/18,low,111850.0000000
19/09/18,close,111870.0000000
19/09/18,open,111860.0000000
19/09/18,high,111950.0000000
19/09/18,low,111860.0000000
19/09/18,close,111900.0000000
19/09/18,open,111900.0000000
19/09/18,high,111920.0000000
19/09/18,low,111860.0000000
19/09/18,close,111890.0000000
19/09/18,open,111900.0000000
19/09/18,high,111910.0000000
19/09/18,low,111850.0000000
19/09/18,close,111890.0000000
19/09/18,open,111900.0000000
19/09/18,high,111910.0000000
19/09/18,low,111870.0000000
19/09/18,close,111900.0000000
19/09/18,open,111900.0000000
19/09/18,high,111910.0000000
19/09/18,low,111880.0000000
19/09/18,close,111890.0000000
19/09/18,open,111890.0000000
19/09/18,high,111890.0000000
19/09/18,low,111840.0000000
19/09/18,close,111870.0000000
19/09/18,open,111880.0000000
19/09/18,high,111890.0000000
19/09/18,low,111850.0000000
19/09/18,close,111870.0000000
19/09/18,open,111870.0000000
19/09/18,high,111890.0000000
19/09/18,low,111830.0000000
19/09/18,close,111890.0000000
19/09/18,open,111880.0000000
19/09/18,high,111900.0000000
19/09/18,low,111870.0000000
19/09/18,close,111870.0000000
19/09/18,open,111880.0000000
19/09/18,high,111880.0000000
19/09/18,low,111840.0000000
19/09/18,close,111840.0000000
19/09/18,open,111840.0000000
19/09/18,high,111910.0000000
19/09/18,low,111820.0000000
19/09/18,close,111870.0000000
19/09/18,open,111890.0000000
19/09/18,high,111910.0000000
19/09/18,low,111840.0000000
19/09/18,close,111860.0000000
19/09/18,open,111880.0000000
19/09/18,high,111890.0000000
19/09/18,low,111830.0000000
19/09/18,close,111860.0000000
19/09/18,open,111860.0000000
19/09/18,high,111920.0000000
19/09/18,low,111850.0000000
19/09/18,close,111900.0000000
19/09/18,open,111900.0000000
19/09/18,high,111940.0000000
19/09/18,low,111870.0000000
19/09/18,close,111870.0000000
19/09/18,open,111870.0000000
19/09/18,high,111880.0000000
19/09/18,low,111820.0000000
19/09/18,close,111820.0000000
19/09/18,open,111840.0000000
19/09/18,high,111870.0000000
19/09/18,low,111800.0000000
19/09/18,close,111810.0000000
19/09/18,open,111820.0000000
19/09/18,high,111840.0000000
19/09/18,low,111800.0000000
19/09/18,close,111810.0000000
19/09/18,open,111820.0000000
19/09/18,high,111840.0000000
19/09/18,low,111800.0000000
19/09/18,close,111830.0000000
19/09/18,open,111840.0000000
19/09/18,high,111840.0000000
19/09/18,low,111800.0000000
19/09/18,close,111810.0000000
19/09/18,open,111810.0000000
19/09/18,high,111850.0000000
19/09/18,low,111800.0000000
19/09/18,close,111800.0000000
19/09/18,open,111810.0000000
19/09/18,high,111810.0000000
19/09/18,low,111760.0000000
19/09/18,close,111790.0000000
19/09/18,open,111800.0000000
19/09/18,high,111820.0000000
19/09/18,low,111750.0000000
19/09/18,close,111800.0000000
19/09/18,open,111800.0000000
19/09/18,high,111830.0000000
19/09/18,low,111760.0000000
19/09/18,close,111780.0000000
19/09/18,open,111780.0000000
19/09/18,high,111810.0000000
19/09/18,low,111760.0000000
19/09/18,close,111770.0000000
19/09/18,open,111770.0000000
19/09/18,high,111800.0000000
19/09/18,low,111670.0000000
19/09/18,close,111680.0000000
19/09/18,open,111690.0000000
19/09/18,high,111770.0000000
19/09/18,low,111670.0000000
19/09/18,close,111740.0000000
19/09/18,open,111750.0000000
19/09/18,high,111820.0000000
19/09/18,low,111740.0000000
19/09/18,close,111770.0000000
19/09/18,open,111770.0000000
19/09/18,high,111810.0000000
19/09/18,low,111740.0000000
19/09/18,close,111760.0000000
19/09/18,open,111780.0000000
19/09/18,high,111850.0000000
19/09/18,low,111760.0000000
19/09/18,close,111830.0000000
19/09/18,open,111840.0000000
19/09/18,high,111950.0000000
19/09/18,low,111840.0000000
19/09/18,close,111930.0000000
19/09/18,open,111940.0000000
19/09/18,high,111970.0000000
19/09/18,low,111860.0000000
19/09/18,close,111890.0000000
19/09/18,open,111890.0000000
19/09/18,high,111910.0000000
19/09/18,low,111870.0000000
19/09/18,close,111870.0000000
19/09/18,open,111890.0000000
19/09/18,high,111940.0000000
19/09/18,low,111870.0000000
19/09/18,close,111910.0000000
19/09/18,open,111920.0000000
19/09/18,high,111950.0000000
19/09/18,low,111910.0000000
19/09/18,close,111950.0000000
19/09/18,open,111930.0000000
19/09/18,high,111960.0000000
19/09/18,low,111890.0000000
19/09/18,close,111890.0000000
19/09/18,open,111900.0000000
19/09/18,high,111920.0000000
19/09/18,low,111880.0000000
19/09/18,close,111890.0000000
19/09/18,open,111900.0000000
19/09/18,high,111940.0000000
19/09/18,low,111860.0000000
19/09/18,close,111880.0000000
19/09/18,open,111900.0000000
19/09/18,high,111910.0000000
19/09/18,low,111850.0000000
19/09/18,close,111860.0000000
19/09/18,open,111860.0000000
19/09/18,high,111880.0000000
19/09/18,low,111810.0000000
19/09/18,close,111840.0000000
19/09/18,open,111850.0000000
19/09/18,high,111880.0000000
19/09/18,low,111830.0000000
19/09/18,close,111850.0000000
19/09/18,open,111850.0000000
19/09/18,high,111860.0000000
19/09/18,low,111820.0000000
19/09/18,close,111830.0000000
19/09/18,open,111840.0000000
19/09/18,high,111860.0000000
19/09/18,low,111800.0000000
19/09/18,close,111820.0000000
19/09/18,open,111820.0000000
19/09/18,high,111860.0000000
19/09/18,low,111820.0000000
19/09/18,close,111830.0000000
19/09/18,open,111830.0000000
19/09/18,high,111850.0000000
19/09/18,low,111820.0000000
19/09/18,close,111850.0000000
19/09/18,open,111850.0000000
19/09/18,high,111850.0000000
19/09/18,low,111800.0000000
19/09/18,close,111840.0000000
19/09/18,open,111830.0000000
19/09/18,high,111850.0000000
19/09/18,low,111800.0000000
19/09/18,close,111810.0000000
19/09/18,open,111810.0000000
19/09/18,high,111840.0000000
19/09/18,low,111790.0000000
19/09/18,close,111790.0000000
19/09/18,open,111800.0000000
19/09/18,high,111820.0000000
19/09/18,low,111770.0000000
19/09/18,close,111800.0000000
19/09/18,open,111810.0000000
19/09/18,high,111820.0000000
19/09/18,low,111790.0000000
19/09/18,close,111790.0000000
19/09/18,open,111800.0000000
19/09/18,high,111830.0000000
19/09/18,low,111780.0000000
19/09/18,close,111800.0000000
19/09/18,open,111800.0000000
19/09/18,high,111820.0000000
19/09/18,low,111770.0000000
19/09/18,close,111800.0000000
19/09/18,open,111810.0000000
19/09/18,high,111850.0000000
19/09/18,low,111780.0000000
19/09/18,close,111780.0000000
19/09/18,open,111780.0000000
19/09/18,high,111780.0000000
19/09/18,low,111750.0000000
19/09/18,close,111770.0000000
19/09/18,open,111780.0000000
19/09/18,high,111820.0000000
19/09/18,low,111770.0000000
19/09/18,close,111800.0000000
19/09/18,open,111810.0000000
19/09/18,high,111830.0000000
19/09/18,low,111800.0000000
19/09/18,close,111800.0000000
19/09/18,open,111820.0000000
19/09/18,high,111850.0000000
19/09/18,low,111810.0000000
19/09/18,close,111830.0000000
19/09/18,open,111850.0000000
19/09/18,high,111860.0000000
19/09/18,low,111830.0000000
19/09/18,close,111860.0000000
19/09/18,open,111850.0000000
19/09/18,high,111880.0000000
19/09/18,low,111850.0000000
19/09/18,close,111860.0000000
19/09/18,open,111850.0000000
19/09/18,high,111880.0000000
19/09/18,low,111830.0000000
19/09/18,close,111850.0000000
19/09/18,open,111840.0000000
19/09/18,high,111910.0000000
19/09/18,low,111840.0000000
19/09/18,close,111900.0000000
19/09/18,open,111910.0000000
19/09/18,high,111930.0000000
19/09/18,low,111870.0000000
19/09/18,close,111910.0000000
19/09/18,open,111900.0000000
19/09/18,high,111900.0000000
19/09/18,low,111850.0000000
19/09/18,close,111850.0000000
19/09/18,open,111850.0000000
19/09/18,high,111880.0000000
19/09/18,low,111850.0000000
19/09/18,close,111860.0000000
19/09/18,open,111860.0000000
19/09/18,high,111880.0000000
19/09/18,low,111850.0000000
19/09/18,close,111860.0000000
19/09/18,open,111870.0000000
19/09/18,high,111880.0000000
19/09/18,low,111830.0000000
19/09/18,close,111840.0000000
19/09/18,open,111840.0000000
19/09/18,high,111850.0000000
19/09/18,low,111820.0000000
19/09/18,close,111840.0000000
19/09/18,open,111830.0000000
19/09/18,high,111880.0000000
19/09/18,low,111830.0000000
19/09/18,close,111880.0000000
19/09/18,open,111860.0000000
19/09/18,high,111880.0000000
19/09/18,low,111830.0000000
19/09/18,close,111840.0000000
19/09/18,open,111830.0000000
19/09/18,high,111880.0000000
19/09/18,low,111820.0000000
19/09/18,close,111860.0000000
19/09/18,open,111850.0000000
19/09/18,high,111920.0000000
19/09/18,low,111850.0000000
19/09/18,close,111900.0000000
19/09/18,open,111890.0000000
19/09/18,high,111930.0000000
19/09/18,low,111870.0000000
19/09/18,close,111890.0000000
19/09/18,open,111880.0000000
19/09/18,high,111900.0000000
19/09/18,low,111820.0000000
19/09/18,close,111860.0000000
19/09/18,open,111840.0000000
19/09/18,high,111850.0000000
19/09/18,low,111770.0000000
19/09/18,close,111800.0000000
19/09/18,open,111800.0000000
19/09/18,high,111810.0000000
19/09/18,low,111700.0000000
19/09/18,close,111700.0000000
19/09/18,open,111710.0000000
19/09/18,high,111720.0000000
19/09/18,low,111620.0000000
19/09/18,close,111640.0000000
19/09/18,open,111640.0000000
19/09/18,high,111710.0000000
19/09/18,low,111640.0000000
19/09/18,close,111710.0000000
19/09/18,open,111710.0000000
19/09/18,high,111720.0000000
19/09/18,low,111690.0000000
19/09/18,close,111700.0000000
19/09/18,open,111700.0000000
19/09/18,high,111730.0000000
19/09/18,low,111680.0000000
19/09/18,close,111710.0000000
19/09/18,open,111700.0000000
19/09/18,high,111720.0000000
19/09/18,low,111690.0000000
19/09/18,close,111700.0000000
